2023-04-01 21:15:58,562 - INFO - Websocket connected
2023-04-01 21:15:58,982 - ERROR - error from callback <function on_message at 0x7f4e5f613160>: 'params'
2023-04-01 21:15:59,000 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0x9961a01d4bb0722745b0aace546f9471fb7f695f4a955b7ebf5cb285a17fb6d6', 'gasLimit': '0x4000000000000', 'gasUsed': '0x5e253a', 'hash': '0xa709d0af1ebb62b62c3b2c791f84498ec85a694b7f5633f83c20186f6d85a419', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x000000000000008000000000000000000000000000000000000000004000000000000000080000000000000000000000000000000000000000000000000000000020000002000000000000000000004000000000000000010000000000c0000000000000000000800000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000400020000010000000020000080000000000000000400000020800000000000000000000000000000000000100000000000000000000000080000200000020000000000000000000000000000000000000000010020', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070910000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe45', 'parentHash': '0x8e70be93354acdf747fda89e3482c8c90059cbbd31d5493a105c32aedd3efc15', 'receiptsRoot': '0x7488519c90115d22eb01ee7957ce719bde0250c7901e4082096a429e093da61e', 'sendCount': '0x7091', 'sendRoot': '0x9961a01d4bb0722745b0aace546f9471fb7f695f4a955b7ebf5cb285a17fb6d6', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x6ef', 'stateRoot': '0x470c78cdf4e688b68191a750cbf11cc437ef1ee6e5e36d395b9bc3d595a32e3b', 'timestamp': '0x642851b6', 'transactionsRoot': '0x905a35b3fa7eebab485a19b32a2726fc1a8e021457b4a9e06282c9d00aaf8c66'}
2023-04-01 21:15:59,730 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x180819', 'hash': '0x40fd7d2d4c046f2e37844f7ad1f0da4160a352ae0754a650b5747ecf85aeb118', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x000000000080010000000000000000000020000000000000000000080010000000000000000000002000000000000000000004080400000000000002000000000000000000000000000000000000000001000000000000000000000000000000000000000a0000000000000000042800000000000001004000000000000000000000000000000000000000000000400000000000000000000000000000000040000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000004000000000000800000000000000020000000000000100000000000000000000000008000000000000000000002000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe46', 'parentHash': '0xa709d0af1ebb62b62c3b2c791f84498ec85a694b7f5633f83c20186f6d85a419', 'receiptsRoot': '0x73988c9ebe001e2a002917f986ee6b8026258e7ee71321aea1406f4516f4cb59', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x35c', 'stateRoot': '0x7b6e44ca2c994b52dad3b8cc21e0959f2c5f3fffc0945ff14638859dc22d8dff', 'timestamp': '0x642851b7', 'transactionsRoot': '0x49bcfd4e6ecd2339d7ea66910542fb6017fb24c97daec76e3b6a3a4067ba9265'}
2023-04-01 21:15:59,732 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x1aa8ff', 'hash': '0xb9f3d3bc1886dbbb842b3b8c89d4b769f7f298654ec712ac3bd3b9a6f39f06d4', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000800000000000000000000000000000000000000000200000000000000000000000000000000800000000000000000000000040000010000000000000001000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000002000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe47', 'parentHash': '0x40fd7d2d4c046f2e37844f7ad1f0da4160a352ae0754a650b5747ecf85aeb118', 'receiptsRoot': '0x49a22a90f257cae6757148e8411f323f7aa9f8bd8bd83d971c73e005ab229283', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x374', 'stateRoot': '0x23e00f29e6565b7d9de1828cc3cd4b45c3e62cd713777b600c52ec213f3c5c60', 'timestamp': '0x642851b7', 'transactionsRoot': '0xe69a1794fbcebe4b70526667f31155f59b7321be6c72891dc63bf10cf4a32036'}
2023-04-01 21:15:59,996 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x2d6e9c', 'hash': '0x31ba20fb794c8cdf571bebf8e92a7d1e11cc207fe8706adb1947e03bc64b1b89', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x0002000000000000000100000000000001000000001000000000010000002100000000000000000000000200000000000010000008000000800000000000000000000000000000000000000800000000000000000000000000000000000000000000000002008000840080000000080000040400000c200000000010000000000001000010021000002002000000000000000420000000000000000000000000000000000000002040000008000000025000000000000000000000000000000000000022000500004000010200020000080000000000000000000800000020000000000000000000008000100000000000800000800040002000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe48', 'parentHash': '0xb9f3d3bc1886dbbb842b3b8c89d4b769f7f298654ec712ac3bd3b9a6f39f06d4', 'receiptsRoot': '0xfde51b350b35d4d7c2e4353947fd087c5ad7f27ff23bb5d705fd91e1c0ca7322', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x3b4', 'stateRoot': '0x6595f84c56b715cbda6f9e20bad4265dcec693e357ffcac9d84d74ed832f184a', 'timestamp': '0x642851b7', 'transactionsRoot': '0xb882b898f30d3c16199c81281d88720cffa840ae76cba79abfeafa9558d8371d'}
2023-04-01 21:16:00,201 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x4e2481', 'hash': '0x08b3607f607ac4bd2340c88541d880434eeef5e86ab86f8e6aac2458974bdf06', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x2008000000000000000004000000000010001800000000000000004000000000000002000000000080000200001000000000002010000000000000000000000000000004200000000000000800000008020000000000000000000001000000000000000000000000000000000000000000000000000000080000001000000000000000000000000000000000000000000000080000001800000000a000000040000000000000000000040000000000000000001000000000000004000000000000000002000000000020000000000000000000000000000000000000000000000000000200200010000000000000000000000000000000000000000000008000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe49', 'parentHash': '0x31ba20fb794c8cdf571bebf8e92a7d1e11cc207fe8706adb1947e03bc64b1b89', 'receiptsRoot': '0x2d1fb5401e6a66018babb4da9770b29d4372bc3176fd8c4f7cc8c2a2df47ee96', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x4f0', 'stateRoot': '0xe5e75905e23f63f878615fa9afec0b61997366da9f2579bdabb97dc48b50cc7b', 'timestamp': '0x642851b7', 'transactionsRoot': '0xd3648caf7495857d9248ae951cf4aadd81d9b1643ab87bc69ac73c614ad17dcb'}
2023-04-01 21:16:00,615 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0xb2fa50', 'hash': '0x7be00c39e14a8f0256392e1784b065d07f2aacd9e89962617e99f521c14ea794', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x10000000000020000000020080000008080000001000000000000000440c01000000004000002000000000000000102000000000000202000000000040200000100014000048000000000008000000000000000000000000000004008010000400000400061000010201000000000804000000000008000000000010200000000200000200000000000002000000004000020009000080080200000000000000028080000000000000000000000000020080000080020000000080800001000000000082000000040000800000020000000000800000001000000000000020000010000000001000000000000000000010008004000002400000080800010000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4a', 'parentHash': '0x08b3607f607ac4bd2340c88541d880434eeef5e86ab86f8e6aac2458974bdf06', 'receiptsRoot': '0xae84da349a6fce8bf3f62bab9e18fea7e389351ebf8b47c7397c2df10dbe163d', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x79b', 'stateRoot': '0x74581b009f348e5f8514f1caaff3e95a9774dacd29d1c2174ab93d263fdecf4f', 'timestamp': '0x642851b8', 'transactionsRoot': '0x7785bd2cde489ae1c764a2f81a61dccba08736775dcbcd3f68fd2edffe841efe'}
2023-04-01 21:16:00,618 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x7b2b12', 'hash': '0x6a26961a3aeb4567062b304796f14f4ce436ae2a8ffd235637c1e940d236f4c4', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000040000000000000000000000080000000000000000000000040100000000000000000400000000000000000000000000000000000000000000000000000000008000000000000000000200000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000004000000040000100000000000000000000000080000080000000000004010000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4b', 'parentHash': '0x7be00c39e14a8f0256392e1784b065d07f2aacd9e89962617e99f521c14ea794', 'receiptsRoot': '0xceb5de2e77a6f98ab5f9024147a5f74c47e29d976992dcdb230c348a3d2077b7', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x785', 'stateRoot': '0xde0ed511a74ba2235e93952e7f99202c651b7305c688a21507db367bb2b60ee4', 'timestamp': '0x642851b8', 'transactionsRoot': '0x39ddddd999787fb14eefcd6c34fdfc162710cf14568aef5202033490b76f7fc2'}
2023-04-01 21:16:02,044 - INFO - new txn: {'baseFeePerGas': '0x5faea10', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x16e095', 'hash': '0xb9ca4f463719dfea19d0ea29056428f17acdba878e73e081abe68cded0bbf834', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4c', 'parentHash': '0x6a26961a3aeb4567062b304796f14f4ce436ae2a8ffd235637c1e940d236f4c4', 'receiptsRoot': '0x877fc93f037a95ad97b2fcd6f2b8e838567c805eeeb0feca62492e2c3a0e640c', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x357', 'stateRoot': '0xba7544caa693d2ec31f43cdb0d4358d4cbf696a14847a4e40ca485f0eb9f291e', 'timestamp': '0x642851b9', 'transactionsRoot': '0xba2caa16c1d5fd580c832ded9a93d8ab54cc00d1aba45143c03c0c3e3014f9b8'}
2023-04-01 21:16:02,658 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x16d7de', 'hash': '0x68aa4f57395871fc6618e444687d67ca2c18226ea759424a0af629927013d178', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000008000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000010000000000000000200000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000800000000000000000002000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000020', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4d', 'parentHash': '0xb9ca4f463719dfea19d0ea29056428f17acdba878e73e081abe68cded0bbf834', 'receiptsRoot': '0xed964b06057fb29c9c2921f6f0b834f3efef91bb6c52005ec8ae5a4905e4be18', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x353', 'stateRoot': '0x08683850a98170aa24add9e5525d6297aaeafa6a37d51ddf5d845919d5b75d80', 'timestamp': '0x642851ba', 'transactionsRoot': '0xa5d7ed3cf4bdb84db58d43adf89bb558bfddec2ae6f8d1ddea21f18df814f2aa'}
2023-04-01 21:16:03,068 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x654359', 'hash': '0xf1627d05df4e057af87b379a2ec8ca0131c059db2008a36d04e053438bd781d4', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000000000000000000000000000000000000000000000000000000000000000000000000200004000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000800000000004000000000000000000000000000000000000000000000800000000000000000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4e', 'parentHash': '0x68aa4f57395871fc6618e444687d67ca2c18226ea759424a0af629927013d178', 'receiptsRoot': '0x5ebd8c987bcd125f32952cc2f39a0e4e66d47ccb9b48bf81f5beeb90218a5474', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x70f', 'stateRoot': '0xc67e1cc094e01e6067064054abb6b70da74d03c853b24c84d26b05ca2da43980', 'timestamp': '0x642851ba', 'transactionsRoot': '0xa8662f925decb6b00cc6562d0d9407d9ef316483d39fd2f8d35a9dafdea253be'}
2023-04-01 21:16:03,682 - INFO - new txn: {'baseFeePerGas': '0x5f5e100', 'difficulty': '0x1', 'extraData': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'gasLimit': '0x4000000000000', 'gasUsed': '0x68f220', 'hash': '0xc2297b73eab8fac0c014c0977efa3a1278e22c2f58759981a10fe41a8f3d1594', 'l1BlockNumber': '0x859ae7', 'logsBloom': '0x00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000040000000000000000000000000000000080000000000000040100000000000000000400000000000000000000000000000000000000000000000000000000008000000000000000000200000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280000000000004000000040000100000000000000000000000000000080000080000000010000000000000000', 'miner': '0xa4b000000000000000000073657175656e636572', 'mixHash': '0x00000000000070920000000000859ae7000000000000000a0000000000000000', 'nonce': '0x000000000004da1e', 'number': '0xdefe4f', 'parentHash': '0xf1627d05df4e057af87b379a2ec8ca0131c059db2008a36d04e053438bd781d4', 'receiptsRoot': '0xd12af5a2553038f4fa6837075dd2c43ee24090cb68735db617c35e9adabf1606', 'sendCount': '0x7092', 'sendRoot': '0xf50a34d3c4feccd1644dfa0e2440e28b2b48a0288d439c9ce627373961f8c528', 'sha3Uncles': '0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347', 'size': '0x70e', 'stateRoot': '0x07e3bbc69bf8fc41323ab96f8346c8503f44155faa3b16f538219a41d7cdf19b', 'timestamp': '0x642851bb', 'transactionsRoot': '0xcdcb3d7ce38842a60c77836780ca14a7ec222b196f6a6d784c26392258226ed5'}
